DataSourceName,DataSourceType,Location,LocationId,LocationType,LocationSubType,Count,Size,Status,ErrorWarning,Query
MARCUSJ-DEV - Marketing,Group,https://marcusjcloud.sharepoint.com/sites/Marketing-Simulation,49d40911-3340-4a72-989e-a73510986e3b,SharePoint,Site,0,0,Succeeded,,"((SensitiveType=""a44669fe-0d48-453d-a9b1-2cc83f2cba77|1..500|85..100"")) OR ((SensitiveType=""50842eb7-edc8-4019-85dd-5a5c1f2bb085|1..500|85..100"")) OR ((SensitiveType=""a2ce32a8-f935-4bb6-8e96-2a5157672e2c|1..500|85..100"")) OR ((SensitiveType=""178ec42a-18b4-47cc-85c7-d62c92fd67f8|1..500|85..100"")) OR ((SensitiveType=""dfeb356f-61cd-459e-bf0f-7c6d28b458c6|1..500|40..100"")) OR ((SensitiveType=""e55e2a32-f92d-4985-a35d-a0b269eb687b|1..500|85..100"")) OR ((SensitiveType=""cb353f78-2b72-4c3c-8827-92ebe4f69fdf|1..500|85..100"")) OR ((SensitiveType=""e7dc4711-11b7-4cb0-b88b-2c394a771f0e|1..500|85..100""))"
MARCUSJ-DEV - IT,Group,https://marcusjcloud.sharepoint.com/sites/IT-Simulation,91d941ae-809c-4ebd-9867-c1c3ec7a8214,SharePoint,Site,0,0,Succeeded,,"((SensitiveType=""a44669fe-0d48-453d-a9b1-2cc83f2cba77|1..500|85..100"")) OR ((SensitiveType=""50842eb7-edc8-4019-85dd-5a5c1f2bb085|1..500|85..100"")) OR ((SensitiveType=""a2ce32a8-f935-4bb6-8e96-2a5157672e2c|1..500|85..100"")) OR ((SensitiveType=""178ec42a-18b4-47cc-85c7-d62c92fd67f8|1..500|85..100"")) OR ((SensitiveType=""dfeb356f-61cd-459e-bf0f-7c6d28b458c6|1..500|40..100"")) OR ((SensitiveType=""e55e2a32-f92d-4985-a35d-a0b269eb687b|1..500|85..100"")) OR ((SensitiveType=""cb353f78-2b72-4c3c-8827-92ebe4f69fdf|1..500|85..100"")) OR ((SensitiveType=""e7dc4711-11b7-4cb0-b88b-2c394a771f0e|1..500|85..100""))"
MARCUSJ-DEV - HR,Group,https://marcusjcloud.sharepoint.com/sites/HR-Simulation,e76390f5-76cf-4a94-ba7f-ddba1b0308e3,SharePoint,Site,310,24837166,Succeeded,,"((SensitiveType=""a44669fe-0d48-453d-a9b1-2cc83f2cba77|1..500|85..100"")) OR ((SensitiveType=""50842eb7-edc8-4019-85dd-5a5c1f2bb085|1..500|85..100"")) OR ((SensitiveType=""a2ce32a8-f935-4bb6-8e96-2a5157672e2c|1..500|85..100"")) OR ((SensitiveType=""178ec42a-18b4-47cc-85c7-d62c92fd67f8|1..500|85..100"")) OR ((SensitiveType=""dfeb356f-61cd-459e-bf0f-7c6d28b458c6|1..500|40..100"")) OR ((SensitiveType=""e55e2a32-f92d-4985-a35d-a0b269eb687b|1..500|85..100"")) OR ((SensitiveType=""cb353f78-2b72-4c3c-8827-92ebe4f69fdf|1..500|85..100"")) OR ((SensitiveType=""e7dc4711-11b7-4cb0-b88b-2c394a771f0e|1..500|85..100""))"
MARCUSJ-DEV - Finance,Group,https://marcusjcloud.sharepoint.com/sites/Finance-Simulation,4e4b6828-22b5-42f0-bbd5-274cc0e2b63d,SharePoint,Site,227,16997975,Succeeded,,"((SensitiveType=""a44669fe-0d48-453d-a9b1-2cc83f2cba77|1..500|85..100"")) OR ((SensitiveType=""50842eb7-edc8-4019-85dd-5a5c1f2bb085|1..500|85..100"")) OR ((SensitiveType=""a2ce32a8-f935-4bb6-8e96-2a5157672e2c|1..500|85..100"")) OR ((SensitiveType=""178ec42a-18b4-47cc-85c7-d62c92fd67f8|1..500|85..100"")) OR ((SensitiveType=""dfeb356f-61cd-459e-bf0f-7c6d28b458c6|1..500|40..100"")) OR ((SensitiveType=""e55e2a32-f92d-4985-a35d-a0b269eb687b|1..500|85..100"")) OR ((SensitiveType=""cb353f78-2b72-4c3c-8827-92ebe4f69fdf|1..500|85..100"")) OR ((SensitiveType=""e7dc4711-11b7-4cb0-b88b-2c394a771f0e|1..500|85..100""))"
MARCUSJ-DEV - Legal,Group,https://marcusjcloud.sharepoint.com/sites/Legal-Simulation,3132aa95-6e95-474d-8af4-02a0feddc8aa,SharePoint,Site,164,11611814,Succeeded,,"((SensitiveType=""a44669fe-0d48-453d-a9b1-2cc83f2cba77|1..500|85..100"")) OR ((SensitiveType=""50842eb7-edc8-4019-85dd-5a5c1f2bb085|1..500|85..100"")) OR ((SensitiveType=""a2ce32a8-f935-4bb6-8e96-2a5157672e2c|1..500|85..100"")) OR ((SensitiveType=""178ec42a-18b4-47cc-85c7-d62c92fd67f8|1..500|85..100"")) OR ((SensitiveType=""dfeb356f-61cd-459e-bf0f-7c6d28b458c6|1..500|40..100"")) OR ((SensitiveType=""e55e2a32-f92d-4985-a35d-a0b269eb687b|1..500|85..100"")) OR ((SensitiveType=""cb353f78-2b72-4c3c-8827-92ebe4f69fdf|1..500|85..100"")) OR ((SensitiveType=""e7dc4711-11b7-4cb0-b88b-2c394a771f0e|1..500|85..100""))"
