DataSourceName,DataSourceType,Location,LocationId,LocationType,LocationSubType,Count,Size,Status,ErrorWarning,Query
MARCUSJ-DEV - IT,Group,https://marcusjcloud.sharepoint.com/sites/IT-Simulation,46c4c689-62c4-4f59-8b5e-1fff23f5c71c,SharePoint,Site,0,0,Succeeded,,"((SensitiveType=""a44669fe-0d48-453d-a9b1-2cc83f2cba77|1..500|85..100"")) OR ((SensitiveType=""50842eb7-edc8-4019-85dd-5a5c1f2bb085|1..500|85..100"")) OR ((SensitiveType=""a2ce32a8-f935-4bb6-8e96-2a5157672e2c|1..500|85..100"")) OR ((SensitiveType=""178ec42a-18b4-47cc-85c7-d62c92fd67f8|1..500|85..100"")) OR ((SensitiveType=""dfeb356f-61cd-459e-bf0f-7c6d28b458c6|1..500|40..100"")) OR ((SensitiveType=""e55e2a32-f92d-4985-a35d-a0b269eb687b|1..500|85..100"")) OR ((SensitiveType=""cb353f78-2b72-4c3c-8827-92ebe4f69fdf|1..500|85..100"")) OR ((SensitiveType=""e7dc4711-11b7-4cb0-b88b-2c394a771f0e|1..500|85..100""))"
MARCUSJ-DEV - Legal,Group,https://marcusjcloud.sharepoint.com/sites/Legal-Simulation,d620d4d8-16ea-4228-95e7-f2cba6e73364,SharePoint,Site,831,64933100,Succeeded,,"((SensitiveType=""a44669fe-0d48-453d-a9b1-2cc83f2cba77|1..500|85..100"")) OR ((SensitiveType=""50842eb7-edc8-4019-85dd-5a5c1f2bb085|1..500|85..100"")) OR ((SensitiveType=""a2ce32a8-f935-4bb6-8e96-2a5157672e2c|1..500|85..100"")) OR ((SensitiveType=""178ec42a-18b4-47cc-85c7-d62c92fd67f8|1..500|85..100"")) OR ((SensitiveType=""dfeb356f-61cd-459e-bf0f-7c6d28b458c6|1..500|40..100"")) OR ((SensitiveType=""e55e2a32-f92d-4985-a35d-a0b269eb687b|1..500|85..100"")) OR ((SensitiveType=""cb353f78-2b72-4c3c-8827-92ebe4f69fdf|1..500|85..100"")) OR ((SensitiveType=""e7dc4711-11b7-4cb0-b88b-2c394a771f0e|1..500|85..100""))"
MARCUSJ-DEV - Marketing,Group,https://marcusjcloud.sharepoint.com/sites/Marketing-Simulation,011af662-fa93-420e-ae9a-a6c25a0f3ef4,SharePoint,Site,856,72844462,Succeeded,,"((SensitiveType=""a44669fe-0d48-453d-a9b1-2cc83f2cba77|1..500|85..100"")) OR ((SensitiveType=""50842eb7-edc8-4019-85dd-5a5c1f2bb085|1..500|85..100"")) OR ((SensitiveType=""a2ce32a8-f935-4bb6-8e96-2a5157672e2c|1..500|85..100"")) OR ((SensitiveType=""178ec42a-18b4-47cc-85c7-d62c92fd67f8|1..500|85..100"")) OR ((SensitiveType=""dfeb356f-61cd-459e-bf0f-7c6d28b458c6|1..500|40..100"")) OR ((SensitiveType=""e55e2a32-f92d-4985-a35d-a0b269eb687b|1..500|85..100"")) OR ((SensitiveType=""cb353f78-2b72-4c3c-8827-92ebe4f69fdf|1..500|85..100"")) OR ((SensitiveType=""e7dc4711-11b7-4cb0-b88b-2c394a771f0e|1..500|85..100""))"
MARCUSJ-DEV - HR,Group,https://marcusjcloud.sharepoint.com/sites/HR-Simulation,43587127-7bf1-45ff-bba9-3499a51f85d4,SharePoint,Site,1550,134955379,Succeeded,,"((SensitiveType=""a44669fe-0d48-453d-a9b1-2cc83f2cba77|1..500|85..100"")) OR ((SensitiveType=""50842eb7-edc8-4019-85dd-5a5c1f2bb085|1..500|85..100"")) OR ((SensitiveType=""a2ce32a8-f935-4bb6-8e96-2a5157672e2c|1..500|85..100"")) OR ((SensitiveType=""178ec42a-18b4-47cc-85c7-d62c92fd67f8|1..500|85..100"")) OR ((SensitiveType=""dfeb356f-61cd-459e-bf0f-7c6d28b458c6|1..500|40..100"")) OR ((SensitiveType=""e55e2a32-f92d-4985-a35d-a0b269eb687b|1..500|85..100"")) OR ((SensitiveType=""cb353f78-2b72-4c3c-8827-92ebe4f69fdf|1..500|85..100"")) OR ((SensitiveType=""e7dc4711-11b7-4cb0-b88b-2c394a771f0e|1..500|85..100""))"
MARCUSJ-DEV - Finance,Group,https://marcusjcloud.sharepoint.com/sites/Finance-Simulation,e1826df1-7363-410a-9ec8-bcbed308b877,SharePoint,Site,1186,92618595,Succeeded,,"((SensitiveType=""a44669fe-0d48-453d-a9b1-2cc83f2cba77|1..500|85..100"")) OR ((SensitiveType=""50842eb7-edc8-4019-85dd-5a5c1f2bb085|1..500|85..100"")) OR ((SensitiveType=""a2ce32a8-f935-4bb6-8e96-2a5157672e2c|1..500|85..100"")) OR ((SensitiveType=""178ec42a-18b4-47cc-85c7-d62c92fd67f8|1..500|85..100"")) OR ((SensitiveType=""dfeb356f-61cd-459e-bf0f-7c6d28b458c6|1..500|40..100"")) OR ((SensitiveType=""e55e2a32-f92d-4985-a35d-a0b269eb687b|1..500|85..100"")) OR ((SensitiveType=""cb353f78-2b72-4c3c-8827-92ebe4f69fdf|1..500|85..100"")) OR ((SensitiveType=""e7dc4711-11b7-4cb0-b88b-2c394a771f0e|1..500|85..100""))"
